EL009C1;Kalamata;4090;5896;5809;6641;6899
ES001C1;Madrid;23797;22901;21826;21098;20879
ES002K1;Barcelona;26934;25026;23413;21960;21361
ES003C1;Valencia;23690;21774;19998;18382;17601
ES004C1;Sevilla;16596;16275;15839;15234;14771
ES005C1;Zaragoza;23704;21915;20192;18975;18377
ES006C1;Málaga;17501;16645;15956;14897;14181
ES007C1;Murcia;10099;9272;8750;8105;7783
ES009C1;Valladolid;17271;15479;14005;12536;11611
ES010C1;Palma de Mallorca;14209;13397;12959;12093;11691
ES011C1;Santiago de Compostela;6199;5716;5272;4768;4515
ES012C1;Vitoria/Gasteiz;17865;17035;15886;14899;14444
ES013C1;Oviedo;16531;15358;14231;13114;12338
ES014C1;Pamplona/Iruña;17115;16786;16350;16195;16208
ES015C1;Santander;15503;14647;13875;12818;12136
ES016C1;Toledo;6237;5645;5294;4786;4438
ES017C1;Badajoz;9374;8671;8185;7609;7156
ES018C1;Logroño;23182;21162;19445;18001;17270
ES019K1;Bilbao;18587;17954;16844;16137;15807
ES020C1;Córdoba;14353;13800;13313;12701;12284
ES021C1;Alicante/Alacant;16947;15527;14224;12974;12328
ES022C1;Vigo;14250;13279;12243;11112;10505
ES023C1;Gijón;23268;21355;19643;17922;16714
ES026C1;A Coruña;19215;18294;17007;15827;15081
ES028C1;Reus;15746;14761;13875;13170;12936
ES030C1;Parla;24687;23578;22388;21432;20995
ES031C1;Lugo;10266;10357;9789;9687;9445
ES032C1;San Fernando;14238;14144;13908;13793;13648
ES033C1;Girona;11030;10535;10005;9776;9807
ES034C1;Cáceres;10091;9789;9396;9211;8782
ES035C1;Torrevieja;8111;7460;6868;6403;6211
ES036C1;Pozuelo de Alarcón;6397;6193;5965;5973;6053
ES037C1;Puerto de Santa María, El;7837;7572;7316;7118;7020
ES038C1;Coslada;18576;17584;16615;15725;15384
ES039C1;Avilés;13376;12867;12099;11708;11278
ES040C1;Talavera de la Reina;17239;15685;14725;13583;12750
ES041C1;Palencia;12591;11721;10812;10165;9678
ES042C1;Sant Boi de Llobregat;16474;15460;14541;13820;13605
ES043C1;Ferrol;7164;7001;6566;6290;6040
ES044C1;Pontevedra;8389;8280;7818;7728;7547
ES045C1;Ceuta;6747;8045;9457;11121;12883
ES046C1;Gandia;15447;14210;13019;11979;11468
ES047C1;Rozas de Madrid, Las;5059;4933;4761;4786;4889
